11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.50°	Roll=3.75°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.10°	Roll=4.17°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.55°	Roll=4.43°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.09°	Roll=4.54°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.29°	Roll=4.50°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.58°	Roll=4.12°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.77°	Roll=3.17°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.44°	Roll=1.89°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.91°	Roll=1.97°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.49°	Roll=1.82°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.95°	Roll=2.62°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.24°	Roll=3.49°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.05°	Roll=4.47°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.66°	Roll=4.96°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.04°	Roll=4.67°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.65°	Roll=4.20°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.68°	Roll=4.04°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.62°	Roll=4.00°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.10°	Roll=3.68°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.06°	Roll=3.77°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.10°	Roll=3.06°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.30°	Roll=3.36°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.69°	Roll=3.95°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.90°	Roll=4.21°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.42°	Roll=4.44°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.66°	Roll=4.74°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.75°	Roll=5.25°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.42°	Roll=5.31°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.87°	Roll=5.61°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.56°	Roll=5.84°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.98°	Roll=6.12°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.93°	Roll=5.48°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.56°	Roll=5.12°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.14°	Roll=4.62°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.21°	Roll=4.65°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.19°	Roll=4.02°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.64°	Roll=3.21°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.35°	Roll=4.33°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.52°	Roll=3.11°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.18°	Roll=2.64°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.76°	Roll=3.92°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.02°	Roll=4.52°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.19°	Roll=3.90°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.89°	Roll=2.57°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=20.25°	Roll=1.54°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.73°	Roll=1.33°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=17.25°	Roll=1.04°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=18.77°	Roll=3.52°
11/10/2024 05:54:44 PM - MPU6050 - 102 - INFO - Pitch=19.04°	Roll=3.60°
